fraud,incident_severity,num_vehicles_involved,num_injuries,num_witnesses,police_report_available,injury_claim,vehicle_claim,total_claim_amount,incident_month,incident_day,incident_dow,incident_hour,driver_relationship_self,driver_relationship_na,driver_relationship_spouse,driver_relationship_child,driver_relationship_other,incident_type_collision,incident_type_breakin,incident_type_theft,collision_type_front,collision_type_rear,collision_type_side,collision_type_na,authorities_contacted_police,authorities_contacted_none,authorities_contacted_fire,authorities_contacted_ambulance,eventtime,write_time,api_invocation_time,is_deleted,policy_id.1,customer_age,customer_education,months_as_customer,policy_deductable,policy_annual_premium,policy_liability,auto_year,num_claims_past_year,num_insurers_past_5_years,customer_gender_male,customer_gender_female,policy_state_ca,policy_state_wa,policy_state_az,policy_state_or,policy_state_nv,policy_state_id,eventtime.1,write_time.1,api_invocation_time.1,is_deleted.1
0,1.0,2,1,0,0.0,25000,17000,42000,7,8,0,16,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1745129899.807623,2025-04-20 06:25:57.020,2025-04-20 06:21:08.000,False,2376,39,4,104,750,3000,1,2017,0,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1745129899.8059692,2025-04-20 06:25:27.104,2025-04-20 06:20:44.000,False
0,0.0,1,0,0,0.0,0,11500,11500,12,30,0,11,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1745129899.807623,2025-04-20 06:25:56.890,2025-04-20 06:21:00.000,False,1784,21,3,4,750,3000,0,2016,0,2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1745129899.8059692,2025-04-20 06:25:27.099,2025-04-20 06:20:36.000,False
0,2.0,3,1,1,1.0,30000,31000,61000,10,21,0,19,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1745129899.807623,2025-04-20 06:25:56.914,2025-04-20 06:21:06.000,False,3906,40,3,112,750,3000,2,2015,3,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1745129899.8059692,2025-04-20 06:25:33.386,2025-04-20 06:20:43.000,False
0,0.0,2,0,0,0.0,0,14500,14500,2,18,0,8,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1745129899.807623,2025-04-20 06:25:56.976,2025-04-20 06:21:06.000,False,606,48,3,134,750,3000,1,2019,0,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1745129899.8059692,2025-04-20 06:25:27.188,2025-04-20 06:20:42.000,False
0,0.0,1,0,0,0.0,0,12000,12000,4,22,0,18,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1745129899.807623,2025-04-20 06:26:02.851,2025-04-20 06:20:59.000,False,105,26,1,41,750,3000,2,2014,0,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1745129899.8059692,2025-04-20 06:25:27.152,2025-04-20 06:20:36.000,False
0,2.0,4,0,5,1.0,0,34500,34500,10,15,1,21,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1745129899.807623,2025-04-20 06:26:03.548,2025-04-20 06:21:18.000,False,3018,33,4,146,750,2700,3,2019,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1745129899.8059692,2025-04-20 06:25:33.272,2025-04-20 06:20:53.000,False
0,1.0,2,0,0,0.0,0,16500,16500,10,20,6,18,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1745129899.807623,2025-04-20 06:26:03.478,2025-04-20 06:21:06.000,False,2242,72,3,274,750,2600,1,2015,0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1745129899.8059692,2025-04-20 06:25:31.946,2025-04-20 06:20:42.000,False
0,1.0,2,0,0,0.0,0,16000,16000,1,18,4,10,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1745129899.807623,2025-04-20 06:25:58.613,2025-04-20 06:21:09.000,False,824,58,3,194,750,3000,0,2016,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1745129899.8059692,2025-04-20 06:25:27.134,2025-04-20 06:20:45.000,False
0,2.0,2,1,3,1.0,16500,21000,37500,4,30,1,11,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1745129899.807623,2025-04-20 06:25:58.640,2025-04-20 06:21:15.000,False,2820,23,3,33,750,3000,2,2012,0,2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1745129899.8059692,2025-04-20 06:25:30.995,2025-04-20 06:20:50.000,False
0,1.0,3,0,1,1.0,0,15500,15500,6,25,1,12,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1745129899.807623,2025-04-20 06:26:03.548,2025-04-20 06:21:13.000,False,2707,56,1,121,750,2450,0,2013,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1745129899.8059692,2025-04-20 06:25:33.272,2025-04-20 06:20:48.000,False
